*	>2000
i	>a
u	>0002
e	>0022
o	>0020
N	>0200
c	>00002
T	<00002
x	<0222
?	<0222a
O	<0222000002
v	<2002a
k	<0002
g	<0002a
q	<0002000002
G	<2220
Q	<2220a
s	<0020
z	<0020a
t	<0200
d	<0200a
n	<2000
h	<0022
b	<0022a
p	<0022000002
f	<2002
m	<0202
r	<0220
w	<2200
W	<2200a
D	<2202
=	<2020
~	<2020a
