0	( 0
1	# 1
2	# 2
3	# 3
4	# 4
5	# 5
6	# 6
7	# 7
8	# 8
9	# 9
+	# a
-	# b
*	# c
/	# d
=	# e
#	# f
" "	, 0
\n	{0011}
.	, 1
,	, 2
:	, 5
;	, 3
?	, 4
!	, 8
\	, 6
|	, 9
$	, 7
&	, a
_	, b
^	, c
%	, d
~	, e
@	, f
[	( 1
]	( 8
(	( 2
)	( 4
'	( 6
""""	( 9
<	( 5
>	( a
{	( 3
}	( c
`	( f
